pos list: 
-3.535535757250845e-05 3.535532054848396e-05 0.0 
-4.0652376374905597e-08 0.07764032457427472 0.0 
-1.4305048738255666e-05 0.31114112585025755 0.0 
1.3915111712364814e-05 0.433583736095315 0.0 
-7.441830100207714e-06 0.7081038017442185 0.0 
1.3655573298243517e-05 0.9292655897070148 0.0 
-2.88816316644791e-05 1.140874365022663 0.0 
-4.312825649466223e-05 1.3404340408016946 0.0 
-4.328205428982823e-05 1.6341661977065476 0.0 
-8.05798390823842e-06 1.8848709069947178 0.0 
1.3085477374330523e-05 2.018068611377916 0.0 
-1.535875247271612e-05 2.323567025106896 0.0 
1.2772698412932826e-05 2.6154324201242263 0.0 
5.633058397958024e-06 2.74639566706406 0.0 
1.9667535570366823e-05 2.952008176904867 0.0 
2.658377260633671e-05 3.2477131617329285 0.0 
2.645759473351994e-05 3.4886951527612693 0.0 
4.759076333948897e-05 3.6415504256614577 0.0 
8.287022165420765e-05 3.7864719604841275 0.0 
9.685960355731993e-05 4.078210076273438 0.0 
0.0001461972344225515 4.383489286940984 0.0 
0.0002309823386283938 4.512804975128787 0.0 
0.00023083572349635872 4.792819260478627 0.0 
0.00023074745821682896 4.96139351711347 0.0 
0.00025891704385250236 5.180426913668605 0.0 
